2015 rank,City,State,2015 estimate,2014 land area(sq mi),2014 land area(km2),latitude,longitude,id
41,Virginia Beach,Virginia,452745,249,644.9,36.7793,76.024,51
42,Raleigh,North Carolina,451066,142.9,370.1,35.8302,78.6414,37
43,Omaha,Nebraska,443885,127.1,329.2,41.2647,96.0419,31
44,Miami,Florida,441003,35.9,92.9,25.7752,80.2086,12
45,Oakland,California,419267,55.9,144.8,37.7699,122.2256,6
46,Minneapolis,Minnesota,410939,54,139.8,44.9633,93.2683,27
47,Tulsa,Oklahoma,403505,196.8,509.6,36.1279,95.9023,40
48,Wichita,Kansas,389965,159.3,412.6,37.6907,97.3427,20
49,New Orleans,Louisiana,389617,169.4,438.8,30.0686,89.939,22
50,Arlington,Texas,388125,95.9,248.3,32.7007,97.1247,48
51,Cleveland,Ohio,388072,77.7,201.2,41.4781,81.6795,39
52,Bakersfield,California,373640,142.2,368.2,35.3212,119.0183,6
53,Tampa,Florida,369075,113.4,293.7,27.9701,82.4797,12
54,Aurora,Colorado,359407,154.1,369.1,39.7082,104.8235,8
55,Honolulu,Hawaii,352769,60.5,156.7,21.3259,157.8453,15
56,Anaheim,California,350742,49.8,129.1,33.8555,117.7601,6
57,Santa Ana,California,335400,27.3,70.6,33.7365,117.8826,6
58,Corpus Christi,Texas,324074,160.6,416,27.7543,97.1734,48
59,Riverside,California,322424,81.1,210.2,33.9381,117.3932,6
60,St. Louis,Missouri,315685,61.9,160.3,38.6357,90.2446,29
61,Lexington,Kentucky,314488,283.6,734.6,38.0402,84.4584,21
62,Stockton,California,305658,61.7,159.7,37.9763,121.3133,6
63,Pittsburgh,Pennsylvania,304391,55.4,143.4,40.4398,79.9766,42
64,Saint Paul,Minnesota,300851,52,134.6,44.9489,93.1039,27
65,Anchorage,Alaska,298695,1704.7,4415.1,61.2176,149.8953,2
66,Cincinnati,Ohio,298550,77.9,201.9,39.1399,84.5064,39
67,Henderson,Nevada,285667,107.7,279,36.0122,115.0375,32
68,Greensboro,North Carolina,285342,126.5,327.7,36.0965,79.8271,37
69,Plano,Texas,283558,71.6,185.4,33.0508,96.7479,48
70,Newark,New Jersey,281944,24.2,62.6,40.7242,74.1726,34
71,Toledo,Ohio,279789,80.7,209,41.6641,83.5819,39
72,Lincoln,Nebraska,277348,89.1,230.8,40.809,96.6804,31
73,Orlando,Florida,270934,102.4,265.2,28.4159,81.2988,12
74,Chula Vista,California,265757,49.6,128.5,32.6277,117.0152,6
75,Jersey City,New Jersey,264290,14.8,38.3,40.7114,74.0648,34
76,Chandler,Arizona,260828,64.4,166.8,33.2829,111.8549,4
77,Fort Wayne,Indiana,260326,110.6,286.5,41.0882,85.1439,18
78,Buffalo,New York,258071,40.4,104.6,42.8925,78.8597,36
79,Durham,North Carolina,257636,107.4,278.1,35.981,78.9056,37
80,St. Petersburg,Florida,257083,61.7,159.9,27.762,82.6441,12
81,Irvine,California,256927,66.1,171.2,33.6784,117.7713,6
82,Laredo,Texas,255473,88.9,230.3,27.5477,99.4869,48
83,Lubbock,Texas,249042,122.4,317,33.5665,101.8867,48
84,Madison,Wisconsin,248951,76.8,198.9,43.0878,89.4301,55
85,Gilbert,Arizona,247542,68,176,33.3102,111.7422,4
86,Norfolk,Virginia,246393,54.1,140.2,36.923,76.2446,51
87,Reno,Nevada,241445,103,266.8,39.4745,119.7765,32
88,Winston?alem,North Carolina,241218,132.4,343,36.1033,80.2606,37
89,Glendale,Arizona,240126,60,155.3,33.5331,112.1899,4
90,Hialeah,Florida,237069,21.5,55.6,25.8699,80.3029,12
91,Garland,Texas,236897,57.1,147.8,32.9098,96.6304,48
92,Scottsdale,Arizona,236839,183.9,476.4,33.6687,111.8237,4
93,Irving,Texas,236607,67,173.6,32.8577,96.97,48
94,Chesapeake,Virginia,235429,340.8,882.7,36.6794,76.3018,51
95,North Las Vegas,Nevada,234807,101.3,262.5,36.283,115.0893,32
96,Fremont,California,232206,77.5,200.6,37.4944,121.9411,6
97,Baton Rouge,Louisiana,228590,76.9,199.3,30.4485,91.1259,22
98,Richmond,Virginia,220289,59.8,154.9,37.5314,77.476,51
99,Boise,Idaho,218281,79.4,205.56,43.5985,116.2311,16
100,San Bernardino,California,216108,59.2,153.3,34.1393,117.2953,6
101,Spokane,Washington,213272,59.2,153.4,47.6736,117.4166,53
102,Birmingham,Alabama,212461,146.1,378.3,33.5274,86.799,1
103,Modesto,California,211266,36.9,95.5,37.6609,120.9891,6
104,Des Moines,Iowa,210330,80.9,209.5,41.5739,93.6167,19
105,Rochester,New York,209802,35.8,92.7,43.1699,77.6169,36
106,Tacoma,Washington,207948,49.7,128.8,47.2522,122.4598,53
107,Fontana,California,207460,42.4,109.9,34.1088,117.4627,6
108,Oxnard,California,207254,26.9,69.7,34.2023,119.2046,6
109,Moreno Valley,California,204198,51.3,132.8,33.9233,117.2057,6
110,Fayetteville,North Carolina,201963,145.8,377.7,35.0851,78.9803,37
111,Huntington Beach,California,201899,26.7,69.3,33.6906,118.0093,6
112,Yonkers,New York,201116,18,46.7,40.9459,73.8674,36
113,Glendale,California,201020,30.5,78.9,34.1814,118.2458,6
114,Aurora,Illinois,200661,44.9,116.4,41.7635,88.2901,17
115,Montgomery,Alabama,200602,159.6,413.3,32.3463,86.2686,1
116,Columbus,Georgia,200579,216.4,560.4,32.5102,84.8749,13
117,Amarillo,Texas,198645,99.5,257.6,35.1978,101.8287,48
118,Little Rock,Arkansas,197992,119.2,308.7,34.7254,92.3586,5
119,Akron,Ohio,197542,62,160.7,41.0805,81.5214,39
120,Shreveport,Louisiana,197204,105.4,272.9,32.467,93.7927,22
121,Augusta,Georgia,197182,302.5,783.4,33.3655,82.0734,13
122,Grand Rapids,Michigan,195097,44.4,115,42.9612,85.6556,26
123,Mobile,Alabama,194288,139.1,360.3,30.6684,88.1002,1
124,Salt Lake City,Utah,192672,111.1,287.8,40.7785,111.9314,49
125,Huntsville,Alabama,190582,209.1,541.4,34.7843,86.539,1
126,Tallahassee,Florida,189907,100.2,259.6,30.4551,84.2534,12
